Gene	state
Dpp7	1
Mtmr12	1
Adipor1	-1
Arl5c	-1
Smg1	1
Eif4ebp2	-1
Ube2k	-1
Pmel	1
Ing4	1
Zmynd8	1
Prdx1	-1
Prmt5	1
Fignl1	1
Zfml	1
Atad1	-1
Dppa5a	1
Zfp141	1
Foxo1	-1
Ruvbl2	-1
mt-Nd6	1
Cspp1	1
Cyfip2	-1
Top3a	1
Ppp2r1a	1
Actl6a	1
Prr14	1
Zscan29	1
Nup98	1
Klf6	-1
Zfp664	-1
Ppap2b	1
Tpm4	-1
Btrc	1
Ddx21	-1
Pdxdc1	1
Tm7sf3	1
Gsr	1
Tyms	1
Sgol1	1
Hsp90b1	-1
Hmox1	-1
Lefty2	1
Ndufaf7	-1
Fbxo6	1
Rab1	-1
Cmtm7	1
Pigs	1
Sugt1	1
Id2	-1
Ubb	1
Nr5a2	1
Sec11a	1
Osbpl9	1
Ipo5	-1
Eif5a	-1
Ubr7	-1
Klhl9	-1
Matr3	1
Plin2	1
Triml1	1
Spin1	-1
Grhl2	-1
Srpk1	-1
Lrr1	1
Slc6a8	1
Mapkapk3	-1
Slmap	1
Adipor2	1
Hmga1-rs1	-1
Chd2	1
Mapk1	-1
Ebna1bp2	-1
Brca1	1
Ccdc50	-1
Lrig1	1
Tob1	1
Tbc1d25	1
Exosc3	-1
Gm13461	-1
Atg14	1
Ndufa9	1
Map4	1
Pex2	-1
Carhsp1	-1
D4Wsu53e	1
Hrsp12	-1
Sfxn1	-1
Gm13051	1
Gm12141	-1
Tmem63b	-1
Dnajb6	1
Gspt1	-1
Adck5	1
Stmn2	-1
Acta2	-1
Lyrm4	-1
Mapk6	-1
Irak4	1
3110002H16Rik	1
Etf1	-1
Mmadhc	-1
Ctsz	-1
Dse	-1
Usp5	1
Pvrl3	-1
Rasgrp2	-1
Nxt2	1
Hells	-1
Fam102a	1
Ift52	1
Tor2a	-1
Pycard	1
Cryab	-1
D14Abb1e	1
Irf9	1
Bglap3	1
Gm16286	1
Cstf3	1
Pim2	-1
Id3	-1
Pter	1
Trip6	-1
Smyd3	1
Gm8730	-1
Tcof1	1
Gna13	1
9530082P21Rik	-1
Bcat2	-1
Hps5	1
Plp2	1
Clock	1
Vapa	-1
Zfp868	1
Tmem106c	-1
Cks1b	-1
Rbpj	-1
Dapk1	-1
Vill	-1
Gm10033	1
Inadl	-1
Pros1	1
Arl2	-1
Klf10	1
Dusp1	-1
Capza2	1
Lgmn	1
Cast	1
Coq6	1
Copz1	1
Tacc2	1
1300002E11Rik	1
Igf2bp3	1
Tnfaip1	-1
Mllt6	1
Cnn3	1
Mpi	1
Metap1d	1
Hnrnpl	-1
Tars	1
Rbpms	-1
Gm13119	1
Celf4	-1
Arrdc4	-1
Atad2	1
Wdr76	1
Traip	1
Napa	1
Mettl16	-1
Cct4	-1
Cltc	1
Gm6382	-1
Srek1	1
Zfp944	1
Ccnb2	-1
Mkln1	1
Pmp22	-1
Mgst3	-1
Taldo1	1
Glo1	-1
Foxn2	1
Stag1	1
Ncoa6	1
Rnd3	1
Grik3	1
Zfp462	-1
Tmem256	1
Baz1b	1
Rcn2	-1
Otx2	-1
Anapc10	1
Gm5560	-1
Icam1	1
Rhobtb3	-1
Mib1	-1
Baz2a	1
Rasgrp1	1
Mex3c	-1
Miip	-1
Grtp1	1
Psmc5	1
Zfp35	1
Rnf185	1
Cetn3	1
Pebp1	-1
Ttc1	1
Ccrn4l	-1
Spats2	-1
Cdca3	1
Dpys	1
Pus1	1
Pepd	1
Rogdi	1
Gm26767	1
E2f8	-1
Timp1	1
P4hb	1
Jagn1	1
Tpst2	1
Cdc45	1
Tmem41b	1
Ifitm1	1
Jag1	1
Spcs3	1
Pgam1	-1
Rpe	1
Cfdp1	-1
Dopey2	1
Arntl	1
Ripk3	1
Taf1	1
Sema6a	-1
Ufd1l	1
Reep5	-1
2610318N02Rik	-1
Gm8399	-1
Nfe2l2	1
Gm6055	1
9130401M01Rik	-1
Ostm1	1
Tmtc4	1
Fgd4	1
Tro	-1
Cbx5	-1
Khdrbs1	-1
Tpm3-rs7	1
Nup107	1
Cd81	1
AW209491	-1
Pdss1	1
5830428H23Rik	1
Plcd1	-1
Cpsf6	-1
Ube4b	-1
Flnb	-1
Mcm3ap	1
Itgb1	-1
Cdc23	1
Serpine2	-1
Ddx3x	-1
Gsk3b	1
Mga	1
Ptges	1
Fanci	1
Eps8	1
Egln1	-1
Rpl14-ps1	1
Stk17b	-1
Arhgef18	1
Cep70	1
Pola1	1
Setd8	-1
Cirh1a	1
Gm21092	1
Nid2	1
Wwp2	1
Gm10093	1
Lpin1	1
